"id","rank","title","fullTitle","year","image","crew","imDbRating","imDbRatingCount"
"tt0137523","11","Fight Club","Fight Club (1999)","1999","https://m.media-amazon.com/images/M/MV5BMmEzNTkxYjQtZTc0MC00YTVjLTg5ZTEtZWMwOWVlYzY0NWIwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX128_CR0,3,128,176_AL_.jpg","David Fincher (dir.), Brad Pitt, Edward Norton","8.8","1882776"
"tt0109830","12","Forrest Gump","Forrest Gump (1994)","1994","https://m.media-amazon.com/images/M/MV5BNWIwODRlZTUtY2U3ZS00Yzg1LWJhNzYtMmZiYmEyNmU1NjMzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX128_CR0,3,128,176_AL_.jpg","Robert Zemeckis (dir.), Tom Hanks, Robin Wright","8.8","1840606"
"tt1375666","13","Inception","Inception (2010)","2010","https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_UX128_CR0,3,128,176_AL_.jpg","Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt","8.7","2101621"
"tt0167261","14","The Lord of the Rings: The Two Towers","The Lord of the Rings: The Two Towers (2002)","2002","https://m.media-amazon.com/images/M/MV5BZGMxZTdjZmYtMmE2Ni00ZTdkLWI5NTgtNjlmMjBiNzU2MmI5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX128_CR0,3,128,176_AL_.jpg","Peter Jackson (dir.), Elijah Wood, Ian McKellen","8.7","1505677"
"tt0080684","15","Star Wars: Episode V - The Empire Strikes Back","Star Wars: Episode V - The Empire Strikes Back (1980)","1980","https://m.media-amazon.com/images/M/MV5BYmU1NDRjNDgtMzhiMi00NjZmLTg5NGItZDNiZjU5NTU4OTE0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX128_CR0,3,128,176_AL_.jpg","Irvin Kershner (dir.), Mark Hamill, Harrison Ford","8.7","1173944"
"tt0133093","16","The Matrix","The Matrix (1999)","1999","https://m.media-amazon.com/images/M/MV5BNzQzOTk3OTAtNDQ0Zi00ZTVkLWI0MTEtMDllZjNkYzNjNTc4L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX128_CR0,3,128,176_AL_.jpg","Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne","8.6","1701817"
"tt0099685","17","Goodfellas","Goodfellas (1990)","1990","https://m.media-amazon.com/images/M/MV5BY2NkZjEzMDgtN2RjYy00YzM1LWI4ZmQtMjIwYjFjNmI3ZGEwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX128_CR0,3,128,176_AL_.jpg","Martin Scorsese (dir.), Robert De Niro, Ray Liotta","8.6","1037427"
"tt0073486","18","One Flew Over the Cuckoo's Nest","One Flew Over the Cuckoo's Nest (1975)","1975","https://m.media-amazon.com/images/M/MV5BZjA0OWVhOTAtYWQxNi00YzNhLWI4ZjYtNjFjZTEyYjJlNDVlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX128_CR0,3,128,176_AL_.jpg","Milos Forman (dir.), Jack Nicholson, Louise Fletcher","8.6","929677"
"tt0047478","19","Seven Samurai","Seven Samurai (1954)","1954","https://m.media-amazon.com/images/M/MV5BOWE4ZDdhNmMtNzE5ZC00NzExLTlhNGMtY2ZhYjYzODEzODA1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX128_CR0,1,128,176_AL_.jpg","Akira Kurosawa (dir.), Toshir<U+00F4> Mifune, Takashi Shimura","8.6","320044"
"tt0114369","20","Se7en","Se7en (1995)","1995","https://m.media-amazon.com/images/M/MV5BOTUwODM5MTctZjczMi00OTk4LTg3NWUtNmVhMTAzNTNjYjcyXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX128_CR0,3,128,176_AL_.jpg","David Fincher (dir.), Morgan Freeman, Brad Pitt","8.6","1469147"
