"id","rank","rankUpDown","title","fullTitle","year","image","crew","imDbRating","imDbRatingCount"
"tt7126948","26","-4","Wonder Woman 1984","Wonder Woman 1984 (2020)","2020","https://m.media-amazon.com/images/M/MV5BYTlhNzJjYzYtNGU3My00ZDI5LTgzZDUtYzllYjU1ZmU0YTgwXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UX128_CR0,3,128,176_AL_.jpg","Patty Jenkins (dir.), Gal Gadot, Chris Pine","5.4","193636"
"tt8633478","27","-13","Run","Run (2020)","2020","https://m.media-amazon.com/images/M/MV5BMDcwOWVkZTEtNjJhMy00MGI0LWI3NmYtOGY5NWYxZTQ0YTE5XkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_UX128_CR0,3,128,176_AL_.jpg","Aneesh Chaganty (dir.), Sarah Paulson, Kiera Allen","6.7","42278"
"tt8884906","28","+477","Monday","Monday (2020)","2020","https://m.media-amazon.com/images/M/MV5BYTg4NWQ4ODEtMmQ3Zi00N2JlLTgzNDEtMDMzYjNkODUzODE5XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX128_CR0,3,128,176_AL_.jpg","Argyris Papadimitropoulos (dir.), Denise Gough, Sebastian Stan","6.2","1200"
"tt6723592","29","0","Tenet","Tenet (2020)","2020","https://m.media-amazon.com/images/M/MV5BYzg0NGM2NjAtNmIxOC00MDJmLTg5ZmYtYzM0MTE4NWE2NzlhXkEyXkFqcGdeQXVyMTA4NjE0NjEy._V1_UX128_CR0,3,128,176_AL_.jpg","Christopher Nolan (dir.), John David Washington, Robert Pattinson","7.4","332990"
"tt0117665","30","-13","Sleepers","Sleepers (1996)","1996","https://m.media-amazon.com/images/M/MV5BMzk1MmI4NzAtOGRiNS00YjY1LTllNmEtZDhiZDM4MjU2NTMxXkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_UX128_CR0,1,128,176_AL_.jpg","Barry Levinson (dir.), Robert De Niro, Kevin Bacon","7.6","195093"
"tt13472984","31","+588","Two Distant Strangers","Two Distant Strangers (2020)","2020","https://m.media-amazon.com/images/M/MV5BNjBlZTVhYzItOTdjOS00YWY0LWE3NzQtZTc5MjRkY2RjMDM5XkEyXkFqcGdeQXVyNTU5NjE4OTY@._V1_UX128_CR0,3,128,176_AL_.jpg","Travon Free (dir.), Joey Bada$$, Andrew Howard","6.9","5576"
"tt4154796","32","+1","Avengers: Endgame","Avengers: Endgame (2019)","2019","https://m.media-amazon.com/images/M/MV5BMTc5MDE2ODcwNV5BMl5BanBnXkFtZTgwMzI2NzQ2NzM@._V1_UX128_CR0,3,128,176_AL_.jpg","Anthony Russo (dir.), Robert Downey Jr., Chris Evans","8.4","858937"
"tt8846176","33","-20","Concrete Cowboy","Concrete Cowboy (2020)","2020","https://m.media-amazon.com/images/M/MV5BODRlNjNhNDctMTJjYS00Y2Q4LTk1MGEtYTdiMDlkYWNkNGFjXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UX128_CR0,3,128,176_AL_.jpg","Ricky Staub (dir.), Idris Elba, Caleb McLaughlin","6.2","4727"
"tt1070874","34","-4","The Trial of the Chicago 7","The Trial of the Chicago 7 (2020)","2020","https://m.media-amazon.com/images/M/MV5BYjYzOGE1MjUtODgyMy00ZDAxLTljYTgtNzk0Njg2YWQwMTZhXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX128_CR0,3,128,176_AL_.jpg","Aaron Sorkin (dir.), Eddie Redmayne, Alex Sharp","7.8","133056"
"tt4761112","35","-16","The Mauritanian","The Mauritanian (2021)","2021","https://m.media-amazon.com/images/M/MV5BODJlMzdlYzItMzRkNi00NTE0LTliZjQtMTllNzkxNDVhNjkxXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_UX128_CR0,3,128,176_AL_.jpg","Kevin Macdonald (dir.), Tahar Rahim, Nouhe Hamady Bari","7.4","19275"
