"id","rank","rankUpDown","title","fullTitle","year","image","crew","imDbRating","imDbRatingCount"
"tt9016974","80","+449","Synchronic","Synchronic (2019)","2019","https://m.media-amazon.com/images/M/MV5BYWVlNjUxNzctZTI3NC00MDMzLWFlMjAtYmI2NWE5ZWJhYjZmXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UX128_CR0,3,128,176_AL_.jpg","Justin Benson (dir.), Anthony Mackie, Jamie Dornan","6.2","14740"
"tt5932368","81","+920","Vanquish","Vanquish (2021)","2021","https://m.media-amazon.com/images/M/MV5BZWEzZDdjMjAtOWM1Zi00MTZkLWE5OTEtMDg2YmNmODFjOTBjXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_UX128_CR0,3,128,176_AL_.jpg","George Gallo (dir.), Morgan Freeman, Ruby Rose","2.5","1117"
"tt10648342","82","-3","Thor: Love and Thunder","Thor: Love and Thunder (2022)","2022","https://m.media-amazon.com/images/M/MV5BMzZjMTIwNjYtYTg0ZS00ZDFjLTk3MDctMTY3ZTgwMjQ4MmFiXkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_UX128_CR0,1,128,176_AL_.jpg","Taika Waititi (dir.), Melissa McCarthy, Karen Gillan","","0"
"tt7286456","83","-1","Joker","Joker (2019)","2019","https://m.media-amazon.com/images/M/MV5BNGVjNWI4ZGUtNzE0MS00YTJmLWE0ZDctN2ZiYTk2YmI3NTYyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX128_CR0,3,128,176_AL_.jpg","Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro","8.4","983788"
"tt4154756","84","-1","Avengers: Infinity War","Avengers: Infinity War (2018)","2018","https://m.media-amazon.com/images/M/MV5BMjMxNjY2MDU1OV5BMl5BanBnXkFtZTgwNzY1MTUwNTM@._V1_UX128_CR0,3,128,176_AL_.jpg","Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth","8.4","867072"
"tt1477834","85","+30","Aquaman","Aquaman (2018)","2018","https://m.media-amazon.com/images/M/MV5BOTk5ODg0OTU5M15BMl5BanBnXkFtZTgwMDQ3MDY3NjM@._V1_UX128_CR0,3,128,176_AL_.jpg","James Wan (dir.), Jason Momoa, Amber Heard","6.9","390783"
"tt9130508","86","-33","Cherry","Cherry (2021)","2021","https://m.media-amazon.com/images/M/MV5BOTZkMzlkYmItZDAyNy00NmZhLWE3MWItMzQyNDhkYzcwMTFmXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX128_CR0,3,128,176_AL_.jpg","Anthony Russo (dir.), Tom Holland, Ciara Bravo","6.6","18930"
"tt8772262","87","-1","Midsommar","Midsommar (2019)","2019","https://m.media-amazon.com/images/M/MV5BMzQxNzQzOTQwM15BMl5BanBnXkFtZTgwMDQ2NTcwODM@._V1_UX128_CR0,3,128,176_AL_.jpg","Ari Aster (dir.), Florence Pugh, Jack Reynor","7.1","213108"
"tt0417741","88","-65","Harry Potter and the Half-Blood Prince","Harry Potter and the Half-Blood Prince (2009)","2009","https://m.media-amazon.com/images/M/MV5BNzU3NDg4NTAyNV5BMl5BanBnXkFtZTcwOTg2ODg1Mg@@._V1_UX128_CR0,3,128,176_AL_.jpg","David Yates (dir.), Daniel Radcliffe, Emma Watson","7.6","483762"
"tt0993846","89","+9","The Wolf of Wall Street","The Wolf of Wall Street (2013)","2013","https://m.media-amazon.com/images/M/MV5BMjIxMjgxNTk0MF5BMl5BanBnXkFtZTgwNjIyOTg2MDE@._V1_UX128_CR0,3,128,176_AL_.jpg","Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill","8.2","1214971"
"tt7638348","90","+6","Boss Level","Boss Level (2021)","2021","https://m.media-amazon.com/images/M/MV5BNTVkODdiMjAtNmQ5Yy00OThhLTg4MDItYTZlYTFmN2E0M2M1XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX128_CR0,3,128,176_AL_.jpg","Joe Carnahan (dir.), Frank Grillo, Mel Gibson","6.9","22089"
"tt0110912","91","+23","Pulp Fiction","Pulp Fiction (1994)","1994","https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX128_CR0,3,128,176_AL_.jpg","Quentin Tarantino (dir.), John Travolta, Uma Thurman","8.9","1853674"
"tt3554046","92","-87","Space Jam: A New Legacy","Space Jam: A New Legacy (2021)","2021","https://m.media-amazon.com/images/M/MV5BNjg3NmUwYjctMmIzYS00ZTNiLTlhNTYtMWMxNzE5YWIzNmQ4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX128_CR0,3,128,176_AL_.jpg","Malcolm D. Lee (dir.), LeBron James, Zendaya","","0"
"tt8114980","93","+38","Willy's Wonderland","Willy's Wonderland (2021)","2021","https://m.media-amazon.com/images/M/MV5BOTc3ZjVkYTYtMDZiMC00OTliLWE3OTEtYjY5NTBmNGJjYTBmXkEyXkFqcGdeQXVyNDExMzMxNjE@._V1_UX128_CR0,3,128,176_AL_.jpg","Kevin Lewis (dir.), Nicolas Cage, Emily Tosta","5.5","10748"
"tt0120737","94","+6","The Lord of the Rings: The Fellowship of the Ring","The Lord of the Rings: The Fellowship of the Ring (2001)","2001","https://m.media-amazon.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX128_CR0,3,128,176_AL_.jpg","Peter Jackson (dir.), Elijah Wood, Ian McKellen","8.8","1685333"
"tt0458339","95","+14","Captain America: The First Avenger","Captain America: The First Avenger (2011)","2011","https://m.media-amazon.com/images/M/MV5BMTYzOTc2NzU3N15BMl5BanBnXkFtZTcwNjY3MDE3NQ@@._V1_UX128_CR0,3,128,176_AL_.jpg","Joe Johnston (dir.), Chris Evans, Hugo Weaving","6.9","755311"
"tt1961175","96","+779","American Assassin","American Assassin (2017)","2017","https://m.media-amazon.com/images/M/MV5BMjM0MjY4MTk5NV5BMl5BanBnXkFtZTgwNDE2NTQyMzI@._V1_UX128_CR0,3,128,176_AL_.jpg","Michael Cuesta (dir.), Dylan O'Brien, Michael Keaton","6.2","72896"
"tt11161474","97","+6","Pieces of a Woman","Pieces of a Woman (2020)","2020","https://m.media-amazon.com/images/M/MV5BMGE3MzMzOTAtOTExMy00MzFiLWFjNDItN2ZiZmYyYjY2MWUwXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UX128_CR0,3,128,176_AL_.jpg","Korn¨¦l Mundrucz¨® (dir.), Vanessa Kirby, Shia LaBeouf","7.1","36087"
"tt6475714","98","-17","Monster Hunter","Monster Hunter (2020)","2020","https://m.media-amazon.com/images/M/MV5BOGU3NTFmNjYtODc3Ny00MWEzLWI3M2ItZjE3NDgwMTI0MzkzXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UX128_CR0,3,128,176_AL_.jpg","Paul W.S. Anderson (dir.), Milla Jovovich, Tony Jaa","5.3","32961"
"tt1856101","99","+23","Blade Runner 2049","Blade Runner 2049 (2017)","2017","https://m.media-amazon.com/images/M/MV5BNzA1Njg4NzYxOV5BMl5BanBnXkFtZTgwODk5NjU3MzI@._V1_UX128_CR0,3,128,176_AL_.jpg","Denis Villeneuve (dir.), Harrison Ford, Ryan Gosling","8.0","474559"
"tt10098288","100","+276","Roohi","Roohi (2021)","2021","https://m.media-amazon.com/images/M/MV5BZTQzZjMwMDctNGY2OC00ZmU4LTgwYmEtNWIwMjE2Yjc4MmQ1XkEyXkFqcGdeQXVyMTI1NDAzMzM0._V1_UY176_CR0,0,128,176_AL_.jpg","Hardik Mehta (dir.), Rajkummar Rao, Janhvi Kapoor","4.2","5545"
