"value","genre","maxi","mini"
7.09444444444444,"Action",9,5.3
7.25,"Adventure",8.8,6
8.2,"Biography",8.2,8.2
7.325,"Comedy",8.6,6.3
8.3375,"Crime",9.2,7.5
8.13181818181818,"Drama",9.3,6.2
7.16666666666667,"Family",7.6,6.3
6.97142857142857,"Fantasy",8.1,6
6.2,"Horror",7.1,5.3
7.5,"Mystery",8,7.1
6.8,"Romance",7.8,6.3
6.775,"SciFi",8.4,5.3
7,"Sport",7,7
7.36,"Thriller",8.6,6
8.6,"War",8.6,8.6
